OBJECTID,Shape,Join_Count,TARGET_FID,Crash_Year,Crash_Street,Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude_GDA94,Crash_Latitude_GDA94,Crash_Street,Crash_Street_Intersecting,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other,Shape_Length,Shape_Area
97,Polygon,1,97,2,Alfred St,275788,Hospitalisation,2005,April,Saturday,11,Angle,Multi-Vehicle,146.761421,-19.300507,Alfred St,<Null>,Aitkenvale,Townsville City,4814,Mundingburra,Townsville,Northern,Northern,North Queensland,Aitkenvale,Townsville,Townsville,Outer Regional,Mundingburra,Herbert,Locally-controlled,Median Opening,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,0,1,0,0,1,1,1,0,0,0,0,0,0.001164,0
98,Polygon,1,98,2,Appleby Rd,42942,Hospitalisation,2005,January,Monday,11,Angle,Multi-Vehicle,153.011356,-27.391678,Appleby Rd,<Null>,Stafford Heights,Brisbane City,4053,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Stafford Heights,Chermside,Brisbane - North,Major Cities,Stafford,Lilley,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,308,Veh'S Same Direction: Right Turn S/Swipe,Parallel lanes turning,0,1,0,0,1,1,1,0,0,0,0,0,0.001202,0
99,Polygon,1,99,2,Beenleigh Rd,93651,Hospitalisation,2005,August,Tuesday,12,Angle,Multi-Vehicle,153.107692,-27.606047,Beenleigh Rd,<Null>,Underwood,Logan City,4119,Logan Central,Logan,South Eastern,SEQ South,South Coast,Underwood,Springwood - Kingston,Logan - Beaudesert,Major Cities,Waterford,Rankin,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,406,Veh'S Manoeuvring: Leaving Driveway,Vehicle leaving driveway,0,1,0,0,1,1,0,1,0,0,0,0,0.001203,0
100,Polygon,1,100,2,Bienvenue Dr,141993,Hospitalisation,2005,January,Monday,13,Angle,Multi-Vehicle,153.471304,-28.155044,Bienvenue Dr,<Null>,Currumbin Waters,Gold Coast City,4223,Coolangatta,Gold Coast,South Eastern,SEQ South,South Coast,Currumbin Waters,Coolangatta,Gold Coast,Major Cities,Currumbin,Mcpherson,Locally-controlled,Median Opening,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,207,Veh'S Opposite Approach: U-Turn,U-turn,0,1,1,0,2,2,0,0,0,0,0,0,0.001206,0
101,Polygon,2,101,2,Brisbane - Beenleigh Rd,69214,Hospitalisation,2005,June,Saturday,21,Overturned,Single Vehicle,153.16063,-27.708277,Brisbane - Beenleigh Rd,<Null>,Waterford,Logan City,4133,Beenleigh,Logan,South Eastern,SEQ South,South Coast,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,Major Cities,Macalister,Forde,State-controlled,Merge Lane,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Crest,502,Veh'S Overtaking: Out Of Control,Off carriageway on straight,0,1,0,1,2,1,0,0,0,0,0,0,0.002407,0
102,Polygon,1,102,2,Brisbane - Woodford Rd,82649,Hospitalisation,2005,March,Saturday,12,Angle,Multi-Vehicle,152.995493,-27.315315,Brisbane - Woodford Rd,<Null>,Strathpine,Moreton Bay Region,4500,Petrie,North Brisbane,Brisbane,SEQ North,North Coast and Wide Bay/Burnett,Strathpine - Brendale,Strathpine,Moreton Bay - South,Major Cities,Pine Rivers,Dickson,State-controlled,Median Opening,Give way sign,70 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Dip,207,Veh'S Opposite Approach: U-Turn,U-turn,0,1,1,0,2,2,0,0,0,0,0,0,0.001201,0
103,Polygon,1,103,2,Brown Lake Dr,80833,Hospitalisation,2005,December,Saturday,16,Head-on,Multi-Vehicle,153.43157,-27.49241,Brown Lake Dr,<Null>,North Stradbroke Island,Redland City,4183,Dunwich,South Brisbane,Brisbane,SEQ South,Metropolitan,Redland Islands,Cleveland - Stradbroke,Brisbane - East,Remote,Oodgeroo,Bowman,Locally-controlled,Forestry/National Park Road,No traffic control,60 km/h,Unsealed - Dry,Clear,Daylight,Curved - view obscured,Level,201,Veh'S Opposite Approach: Head On,Head-on,0,1,0,0,1,2,0,0,0,0,0,0,0.001202,0
104,Polygon,4,104,2,Browns Plains Rd,98305,Hospitalisation,2005,December,Tuesday,14,Angle,Multi-Vehicle,153.040175,-27.66083,Browns Plains Rd,<Null>,Browns Plains,Logan City,4118,Browns Plains,Logan,South Eastern,SEQ South,South Coast,Browns Plains,Browns Plains,Logan - Beaudesert,Major Cities,Algester,Rankin,Locally-controlled,Median Opening,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,0,1,0,0,1,3,0,0,0,0,0,0,0.001203,0
105,Polygon,1,105,2,Cairns Western Arterial Rd,288270,Hospitalisation,2005,November,Thursday,17,Sideswipe,Multi-Vehicle,145.723293,-16.913973,Cairns Western Arterial Rd,<Null>,Kanimbla,Cairns Region,4870,Cairns,Far North,Northern,Northern,North Queensland,Kanimbla - Mooroobool,Cairns - South,Cairns,Outer Regional,Cairns,Leichhardt,State-controlled,Merge Lane,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Grade,306,Veh'S Same Direction: Lane Change Right,Lane changes,0,2,0,0,2,2,0,0,0,0,0,0,0.001156,0
106,Polygon,1,106,2,Cleveland Sub-Arterial Rd,102517,Hospitalisation,2005,July,Sunday,14,Fall from vehicle,Single Vehicle,153.140747,-27.507496,Cleveland Sub-Arterial Rd,<Null>,Belmont,Brisbane City,4153,Capalaba,South Brisbane,Brisbane,SEQ South,Metropolitan,Belmont - Gumdale,Capalaba,Brisbane - East,Major Cities,Chatsworth,Bonner,State-controlled,Median Opening,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,901,Pass & Misc: Fell In/From Vehicle,Other,0,1,0,0,1,0,1,0,0,0,0,0,0.001202,0
107,Polygon,1,107,2,Creek Rd,22953,Hospitalisation,2005,October,Monday,13,Angle,Multi-Vehicle,153.080529,-27.538914,Creek Rd,<Null>,Mount Gravatt East,Brisbane City,4122,Holland Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Mount Gravatt,Mt Gravatt,Brisbane - South,Major Cities,Mansfield,Bonner,Locally-controlled,Median Opening,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,202,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,0,1,1,0,2,2,0,0,0,0,0,0,0.001203,0
108,Polygon,1,108,2,Danbulla Rd,284943,Hospitalisation,2005,November,Sunday,16,Hit object,Single Vehicle,145.551699,-17.150764,Danbulla Rd,<Null>,Tinaroo,Tablelands Region,4872,Atherton,Far North,Northern,Northern,North Queensland,Malanda - Yungaburra,Tablelands (east) - Kuranda,Cairns,Outer Regional,Hill,Kennedy,Locally-controlled,Forestry/National Park Road,No traffic control,80 - 90 km/h,Unsealed - Dry,Clear,Daylight,Curved - view open,Grade,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,0,2,0,1,3,1,0,0,0,0,0,0,0.001157,0
109,Polygon,1,109,2,Dunlin Dr,193048,Hospitalisation,2005,November,Monday,11,Angle,Multi-Vehicle,153.442728,-28.096285,Dunlin Dr,<Null>,Burleigh Waters,Gold Coast City,4220,Palm Beach,Gold Coast,South Eastern,SEQ South,South Coast,Burleigh Waters,Broadbeach - Burleigh,Gold Coast,Major Cities,Burleigh,Mcpherson,Locally-controlled,Median Opening,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,202,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,0,1,0,0,1,1,0,0,0,1,0,0,0.001206,0
110,Polygon,1,110,2,Enterprise St,169975,Hospitalisation,2005,March,Monday,9,Angle,Multi-Vehicle,153.376641,-27.978839,Enterprise St,<Null>,Molendinar,Gold Coast City,4214,Southport,Gold Coast,South Eastern,SEQ South,South Coast,Molendinar,Southport,Gold Coast,Major Cities,Southport,Moncrieff,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,207,Veh'S Opposite Approach: U-Turn,U-turn,0,2,0,0,2,6,0,0,0,0,0,0,0.001205,0
111,Polygon,1,111,2,Forestry Rd,283930,Hospitalisation,2005,March,Thursday,16,Hit object,Single Vehicle,146.464618,-19.232406,Forestry Rd,<Null>,Blue Hills,Townsville City,4818,Deeragun,Townsville,Northern,Northern,North Queensland,Northern Beaches,Townsville,Townsville,Outer Regional,Hinchinbrook,Herbert,Locally-controlled,Forestry/National Park Road,No traffic control,80 - 90 km/h,Unsealed - Dry,Clear,Daylight,Straight,Level,700,Off Path-Straight: Other,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.001164,0
112,Polygon,1,112,2,Garbutt - Upper Ross Rd,272671,Hospitalisation,2005,August,Friday,16,Rear-end,Multi-Vehicle,146.727621,-19.329276,Garbutt - Upper Ross Rd,<Null>,Condon,Townsville City,4815,Kirwan,Townsville,Northern,Northern,North Queensland,Condon - Rasmussen,Townsville,Townsville,Outer Regional,Thuringowa,Herbert,State-controlled,Merge Lane,No traffic control,70 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,0,1,0,0,1,2,0,0,0,0,0,0,0.001164,0
113,Polygon,1,113,2,Golden Four Dr,142093,Hospitalisation,2005,July,Thursday,10,Angle,Multi-Vehicle,153.492762,-28.141668,Golden Four Dr,<Null>,Tugun,Gold Coast City,4224,Coolangatta,Gold Coast,South Eastern,SEQ South,South Coast,Currumbin - Tugun,Coolangatta,Gold Coast,Major Cities,Currumbin,Mcpherson,Locally-controlled,Median Opening,No traffic control,0 - 50 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,406,Veh'S Manoeuvring: Leaving Driveway,Vehicle leaving driveway,0,1,0,0,1,3,0,0,0,0,0,0,0.001206,0
114,Polygon,1,114,2,Hugh St,280632,Hospitalisation,2005,October,Saturday,19,Hit parked vehicle,Single Vehicle,146.782968,-19.266695,Hugh St,<Null>,Garbutt,Townsville City,4814,Townsville,Townsville,Northern,Northern,North Queensland,Garbutt - West End,Townsville,Townsville,Outer Regional,Townsville,Herbert,State-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,608,Veh'S On Path: Accident Or Broken Down,Hit parked vehicle,0,1,0,0,1,2,0,0,0,0,0,0,0.001164,0
115,Polygon,1,115,2,Inner City Bypass,19342,Hospitalisation,2005,October,Friday,1,Hit object,Single Vehicle,153.038381,-27.442667,Inner City Bypass,<Null>,Bowen Hills,Brisbane City,4006,Fortitude Valley,North Brisbane,Brisbane,SEQ North,Metropolitan,Newstead - Bowen Hills,Brisbane Inner - North,Brisbane Inner City,Major Cities,Mcconnel,Brisbane,Locally-controlled,Merge Lane,No traffic control,80 - 90 km/h,Sealed - Wet,Raining,Darkness - Lighted,Straight,Grade,703,Off Path-Straight: Left Off Cway Hit Obj,Off carriageway on straight hit object,0,2,0,0,2,1,0,0,0,0,0,0,0.001202,0
116,Polygon,1,116,2,Kilcoy - Beerwah Rd,197767,Hospitalisation,2005,February,Sunday,16,Angle,Multi-Vehicle,152.883811,-26.844998,Kilcoy - Beerwah Rd,<Null>,Peachester,Sunshine Coast Region,4519,Beerwah,Sunshine Coast,Central,SEQ North,North Coast and Wide Bay/Burnett,Beerwah,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Glass House,Fisher,State-controlled,Merge Lane,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,408,Veh'S Manoeuvring: Entering From Footway,Vehicle leaving driveway,0,1,0,0,1,2,0,0,0,0,0,0,0.001199,0
117,Polygon,1,117,2,Kingsford Smith Dr,117322,Hospitalisation,2005,August,Saturday,21,Angle,Multi-Vehicle,153.055387,-27.439235,Kingsford Smith Dr,<Null>,Hamilton,Brisbane City,4007,Hendra,North Brisbane,Brisbane,SEQ North,Metropolitan,Hamilton (qld),Brisbane Inner - North,Brisbane Inner City,Major Cities,Clayfield,Brisbane,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Level,207,Veh'S Opposite Approach: U-Turn,U-turn,0,1,0,0,1,2,0,0,0,0,0,0,0.001202,0
118,Polygon,2,118,2,Lae Dr,178848,Hospitalisation,2005,July,Thursday,10,Angle,Multi-Vehicle,153.401072,-27.912474,Lae Dr,<Null>,Runaway Bay,Gold Coast City,4216,Runaway Bay,Gold Coast,South Eastern,SEQ South,South Coast,Runaway Bay,Gold Coast - North,Gold Coast,Major Cities,Broadwater,Fadden,Locally-controlled,Median Opening,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,0,1,0,0,1,2,0,0,0,0,0,0,0.002373,0
119,Polygon,1,119,2,Leyburn Forestry Rd,230920,Fatal,2005,August,Friday,8,Hit object,Single Vehicle,151.619665,-28.037949,Leyburn Forestry Rd,<Null>,Leyburn,Southern Downs Region,4365,Leyburn,Darling Downs,Southern,Southern,Downs South West,Southern Downs - West,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,Forestry/National Park Road,No traffic control,100 - 110 km/h,Unsealed - Dry,Clear,Daylight,Curved - view obscured,Dip,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,1,0,0,0,1,0,1,0,0,0,0,0,0.001206,0
120,Polygon,1,120,2,Lutwyche Rd,117400,Fatal,2005,October,Saturday,17,Head-on,Multi-Vehicle,153.03659,-27.416313,Lutwyche Rd,<Null>,Lutwyche,Brisbane City,4030,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Wooloowin - Lutwyche,Brisbane Inner - North,Brisbane Inner City,Major Cities,Clayfield,Brisbane,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Dawn/Dusk,Curved - view open,Level,201,Veh'S Opposite Approach: Head On,Head-on,1,0,1,0,2,1,1,0,0,0,0,0,0.001202,0
121,Polygon,1,121,2,Maryborough - Hervey Bay Rd,215613,Hospitalisation,2005,April,Tuesday,11,Fall from vehicle,Single Vehicle,152.670609,-25.556871,Maryborough - Hervey Bay Rd,<Null>,Tinana,Fraser Coast Region,4650,Maryborough,Wide Bay Burnett,Central,Southern,North Coast and Wide Bay/Burnett,Tinana,Maryborough,Wide Bay,Inner Regional,Maryborough,Wide Bay,State-controlled,Median Opening,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,707,Off Path-Straight: Right Turn,Off carriageway on straight,0,1,0,0,1,0,1,0,0,0,0,0,0.001192,0
122,Polygon,1,122,2,Mills Ave,265562,Hospitalisation,2005,October,Monday,15,Angle,Multi-Vehicle,148.043207,-22.003457,Mills Ave,<Null>,Moranbah,Isaac Region,4744,Moranbah,Mackay,Central,Central,Central Queensland,Moranbah,Bowen Basin - North,Mackay - Isaac - Whitsunday,Outer Regional,Burdekin,Capricornia,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,308,Veh'S Same Direction: Right Turn S/Swipe,Parallel lanes turning,0,1,0,0,1,2,0,0,0,0,0,0,0.001175,0
123,Polygon,14,123,2,Mt Lewis Rd,72399,Hospitalisation,2005,December,Friday,13,Hit object,Single Vehicle,0,0,Forestry Rd,<Null>,Unknown,Unknown,<Null>,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Locally-controlled,Forestry/National Park Road,No traffic control,100 - 110 km/h,Unsealed - Wet,Clear,Daylight,Curved - view open,Level,800,Off Path-Curve: Other,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.001131,0
124,Polygon,1,124,2,Nambour Connection Rd,166683,Hospitalisation,2005,August,Wednesday,8,Angle,Multi-Vehicle,152.990658,-26.673053,Nambour Connection Rd,<Null>,Woombye,Sunshine Coast Region,4559,Nambour,Sunshine Coast,Central,SEQ North,North Coast and Wide Bay/Burnett,Nambour,Nambour,Sunshine Coast,Major Cities,Nicklin,Fairfax,State-controlled,Median Opening,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,408,Veh'S Manoeuvring: Entering From Footway,Vehicle leaving driveway,0,2,0,1,3,2,0,0,0,0,0,0,0.001198,0
125,Polygon,1,125,2,North Ward Rd,280433,Hospitalisation,2005,April,Saturday,18,Rear-end,Multi-Vehicle,146.812723,-19.253779,North Ward Rd,<Null>,North Ward,Townsville City,4810,Townsville,Townsville,Northern,Northern,North Queensland,Townsville City - North Ward,Townsville,Townsville,Outer Regional,Townsville,Herbert,State-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Grade,207,Veh'S Opposite Approach: U-Turn,U-turn,0,1,0,0,1,2,0,0,0,0,0,0,0.001164,0
126,Polygon,1,126,2,Northern Rd,317937,Hospitalisation,2005,October,Saturday,11,Hit object,Single Vehicle,153.049423,-25.423733,Northern Rd,<Null>,Fraser Island,Fraser Coast Region,4581,Fraser Island,Wide Bay Burnett,Central,Southern,North Coast and Wide Bay/Burnett,Burrum - Fraser,Maryborough,Wide Bay,Remote,Hervey Bay,Wide Bay,Locally-controlled,Forestry/National Park Road,No traffic control,100 - 110 km/h,Unsealed - Wet,Raining,Daylight,Straight,Level,607,Veh'S On Path: Temporary Object On C'Way,Other,0,1,0,0,1,0,1,0,0,0,0,0,0.001191,0
127,Polygon,1,127,2,Orange Grove Rd,46545,Hospitalisation,2005,October,Friday,17,Angle,Multi-Vehicle,153.039273,-27.564874,Orange Grove Rd,<Null>,Coopers Plains,Brisbane City,4108,Upper Mount Gravatt,South Brisbane,Brisbane,SEQ South,Metropolitan,Coopers Plains,Nathan,Brisbane - South,Major Cities,Toohey,Moreton,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Crest,408,Veh'S Manoeuvring: Entering From Footway,Vehicle leaving driveway,0,1,0,0,1,1,0,0,0,1,0,0,0.001203,0
128,Polygon,2,128,2,Redcliffe Rd,82758,Fatal,2005,July,Thursday,19,Hit object,Single Vehicle,153.035301,-27.226372,Redcliffe Rd,<Null>,Mango Hill,Moreton Bay Region,4509,Mango Hill North Lakes,North Brisbane,Brisbane,SEQ North,North Coast and Wide Bay/Burnett,North Lakes - Mango Hill,North Lakes,Moreton Bay - South,Major Cities,Bancroft,Petrie,State-controlled,Median Opening,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,708,Off Path-Straight: Mounts Traffic Island,Off carriageway on straight hit object,1,0,0,0,1,1,0,0,0,0,0,0,0.001201,0
129,Polygon,1,129,2,Sandgate Sub-Arterial Rd,117484,Hospitalisation,2005,November,Sunday,9,Hit object,Single Vehicle,153.059995,-27.405866,Sandgate Sub-Arterial Rd,<Null>,Nundah,Brisbane City,4012,Hendra,North Brisbane,Brisbane,SEQ North,Metropolitan,Nundah,Nundah,Brisbane - North,Major Cities,Nudgee,Lilley,State-controlled,Merge Lane,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight,Straight,Dip,704,Off Path-Straight:Right Off Cway Hit Obj,Off carriageway on straight hit object,0,1,0,1,2,1,0,0,0,0,0,0,0.001202,0
130,Polygon,1,130,2,South East Arterial Rd,22889,Hospitalisation,2005,June,Monday,1,Hit object,Single Vehicle,153.05828,-27.53594,South East Arterial Rd,<Null>,Holland Park West,Brisbane City,4121,Holland Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Tarragindi,Nathan,Brisbane - South,Major Cities,Miller,Moreton,State-controlled,Merge Lane,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,703,Off Path-Straight: Left Off Cway Hit Obj,Off carriageway on straight hit object,0,1,0,0,1,1,0,0,0,0,0,0,0.001203,0
131,Polygon,1,131,2,South Pine Rd,66175,Hospitalisation,2005,February,Saturday,7,Fall from vehicle,Single Vehicle,152.986808,-27.326359,South Pine Rd,<Null>,Brendale,Moreton Bay Region,4500,Albany Creek,North Brisbane,Brisbane,SEQ North,North Coast and Wide Bay/Burnett,Strathpine - Brendale,Strathpine,Moreton Bay - South,Major Cities,Pine Rivers,Dickson,State-controlled,Merge Lane,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,805,Off Path-Curve: Out Of Control On Cway,Out of control on curve,0,1,0,0,1,0,1,0,0,0,0,0,0.001201,0
132,Polygon,1,132,2,Southport - Nerang Rd,170301,Hospitalisation,2005,November,Monday,13,Angle,Multi-Vehicle,153.380159,-27.97731,Southport - Nerang Rd,<Null>,Ashmore,Gold Coast City,4214,Southport,Gold Coast,South Eastern,SEQ South,South Coast,Ashmore,Southport,Gold Coast,Major Cities,Southport,Moncrieff,State-controlled,Median Opening,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Level,406,Veh'S Manoeuvring: Leaving Driveway,Vehicle leaving driveway,0,1,0,0,1,1,1,0,0,0,0,0,0.001205,0
133,Polygon,1,133,2,Stradbroke St,25419,Hospitalisation,2005,April,Wednesday,7,Angle,Multi-Vehicle,152.983434,-27.641953,Stradbroke St,<Null>,Heathwood,Brisbane City,4110,Inala,South Brisbane,Brisbane,SEQ South,Metropolitan,Pallara - Willawong,Rocklea - Acacia Ridge,Brisbane - South,Major Cities,Jordan,Oxley,Locally-controlled,Median Opening,Give way sign,60 km/h,Sealed - Wet,Clear,Daylight,Straight,Level,202,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,0,1,0,0,1,1,0,1,0,0,0,0,0.001203,0
134,Polygon,1,134,2,Sumners Rd,312842,Hospitalisation,2005,October,Monday,16,Hit object,Single Vehicle,152.930737,-27.561827,Sumners Rd,<Null>,Sumner,Brisbane City,4074,Mount Ommaney,South Brisbane,Brisbane,SEQ South,Metropolitan,Darra - Sumner,Forest Lake - Oxley,Ipswich,Major Cities,Mount Ommaney,Oxley,Locally-controlled,Merge Lane,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Dip,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,0,1,0,0,1,0,1,0,0,0,0,0,0.001203,0
135,Polygon,4,135,2,Unnamed Forestry Rd,73987,Fatal,2005,November,Sunday,10,Hit object,Single Vehicle,152.93952,-26.989847,Unnamed Forestry Rd,<Null>,Elimbah,Moreton Bay Region,4516,Caboolture,Moreton,Southern,SEQ North,North Coast and Wide Bay/Burnett,Elimbah,Caboolture,Moreton Bay - North,Major Cities,Glass House,Longman,Locally-controlled,Forestry/National Park Road,No traffic control,100 - 110 km/h,Unsealed - Dry,Clear,Daylight,Curved - view open,Grade,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,1,0,0,0,1,1,0,0,0,0,0,0,0.00477,0
136,Polygon,3,136,2,Victoria Point Rd,78826,Hospitalisation,2005,November,Saturday,16,Angle,Multi-Vehicle,153.284081,-27.584501,Victoria Point Rd,<Null>,Victoria Point,Redland City,4165,Cleveland,South Brisbane,Brisbane,SEQ South,Metropolitan,Victoria Point,Cleveland - Stradbroke,Brisbane - East,Major Cities,Redlands,Bowman,State-controlled,Median Opening,Operating traffic lights,70 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,0,1,0,0,1,2,0,0,0,0,0,0,0.001203,0
137,Polygon,2,137,2,Wanggoolba Ck Rd,317932,Hospitalisation,2005,April,Monday,13,Hit object,Single Vehicle,152.993086,-25.446769,Wanggoolba Ck Rd,<Null>,Fraser Island,Fraser Coast Region,4581,Fraser Island,Wide Bay Burnett,Central,Southern,North Coast and Wide Bay/Burnett,Burrum - Fraser,Maryborough,Wide Bay,Remote,Hervey Bay,Wide Bay,Locally-controlled,Forestry/National Park Road,No traffic control,100 - 110 km/h,Unsealed - Dry,Clear,Daylight,Curved - view open,Level,800,Off Path-Curve: Other,Other,0,9,0,0,9,0,0,0,1,0,0,0,0.002382,0
138,Polygon,1,138,2,Wecker Rd,22930,Hospitalisation,2005,September,Tuesday,14,Angle,Multi-Vehicle,153.101253,-27.533576,Wecker Rd,<Null>,Mansfield,Brisbane City,4122,Holland Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Mansfield (qld),Mt Gravatt,Brisbane - South,Major Cities,Mansfield,Bonner,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,406,Veh'S Manoeuvring: Leaving Driveway,Vehicle leaving driveway,0,2,0,0,2,2,0,0,0,0,0,0,0.001203,0
139,Polygon,1,139,2,Woodlands Rd,190596,Hospitalisation,2005,July,Friday,17,Angle,Multi-Vehicle,152.284574,-27.558828,Woodlands Rd,<Null>,Gatton,Lockyer Valley Region,4343,Gatton,Darling Downs,Southern,SEQ South,Downs South West,Gatton,Toowoomba,Toowoomba,Inner Regional,Lockyer,Wright,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Grade,202,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,0,1,0,0,1,2,0,0,0,0,0,0,0.001203,0
140,Polygon,1,140,2,Zillmere Rd,61699,Hospitalisation,2005,September,Tuesday,16,Angle,Multi-Vehicle,153.018418,-27.356299,Zillmere Rd,<Null>,Aspley,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Aspley,Chermside,Brisbane - North,Major Cities,Aspley,Petrie,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,406,Veh'S Manoeuvring: Leaving Driveway,Vehicle leaving driveway,0,2,2,0,4,2,0,0,0,0,0,0,0.001202,0
141,Polygon,1,141,2,Albert St,236799,Hospitalisation,2006,September,Saturday,12,Angle,Multi-Vehicle,151.081756,-28.414945,Albert St,<Null>,Inglewood,Goondiwindi Region,4387,Inglewood,Darling Downs,Southern,Southern,Downs South West,Inglewood - Waggamba,Darling Downs (west) - Maranoa,Darling Downs - Maranoa,Outer Regional,Southern Downs,Maranoa,State-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,308,Veh'S Same Direction: Right Turn S/Swipe,Parallel lanes turning,0,1,0,0,1,1,1,0,0,0,0,0,0.001208,0
